municipality,tot_pob,high,professionals,europeans,nse_municip,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,Banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total
17001,903,62.3687033975505,291.22021660649807,759,4.45171339563863,35.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
17002,780,65.54778268695794,355.95238095238096,747,4.53951890034364,156.0,4.0,11.0,16.0,,,,,,
17003,180,9.7593192022554,71.08280254777084,157,4.63934426229508,0.0,0.0,0.0,0.0,,,,,,
17004,797,27.142074742268,302.9832474226804,698,4.06666666666667,36.0,1.0,0.0,0.0,,,,,,
17005,625,15.586293247366289,247.28714524206998,604,4.07327586206896,320.0,12.0,23.0,35.0,,,,,,
17006,1717,136.49193892560433,947.6101265822784,1543,4.63993453355156,216.0,14.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0
17007,2422,124.59054951003017,772.5526544821587,2160,4.26733780760626,81.0,2.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0
17008,5682,308.6978549116003,1728.3000219694177,4530,4.469074370941292,525.0,9.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0
17009,6474,245.12088672406608,2464.709379269648,4986,4.299357263007653,861.0,30.0,12.0,24.0,1.0,0.0,1.0,1.0,0.0,3.0
17010,439,15.51637279596981,103.94458438287147,419,4.17647058823529,72.0,3.0,7.0,6.0,,,,,,
17011,1043,51.14327432833142,437.38709677419354,871,4.3899721448468,32.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
17012,1676,83.7919094885263,693.3018633540378,1604,4.36977491961415,57.0,2.0,3.0,5.0,,,,,,
17013,4177,395.25069939794173,1827.8018468403457,3572,4.974487252538443,640.0,24.0,4.0,30.0,0.0,0.0,1.0,1.0,0.0,2.0
17014,87,9.21212121212121,26.393258426966277,64,4.72727272727273,35.0,0.0,1.0,2.0,,,,,,
17015,20187,1980.4516385434947,6553.8776804870895,16386,4.815172008316774,12048.0,324.0,372.0,624.0,1.0,0.0,2.0,1.0,1.0,5.0
17016,1034,46.635427283115554,440.7888446215141,918,4.16020671834625,50.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
17018,713,13.10848549946294,262.3593073593073,638,4.02631578947368,45.0,0.0,0.0,0.0,,,,,,
17019,2480,65.52223552029737,686.6773675762446,2187,4.14521112255407,186.0,5.0,5.0,10.0,1.0,0.0,1.0,0.0,0.0,2.0
17020,5156,240.0302794331439,1851.524403688411,4897,4.516147665321293,714.0,18.0,15.0,42.0,0.0,0.0,1.0,0.0,0.0,1.0
17021,202,4.39855803893295,81.86315789473682,176,4.04109589041096,186.0,5.0,5.0,10.0,,,,,,
17022,11163,699.7263786337189,3877.0233800146643,8994,4.354446229271795,1766.0,72.0,8.0,28.0,1.0,0.0,1.0,1.0,1.0,4.0
17023,40579,2053.6841812230846,11541.152444714491,34377,4.3234564202235966,32318.0,1760.0,396.0,1100.0,1.0,1.0,2.0,2.0,1.0,7.0
17024,518,19.223061948929338,336.91056910569125,484,4.26056338028169,66.0,2.0,0.0,1.0,,,,,,
17025,1815,148.39596650849055,582.5548060708265,1518,4.66279069767442,94.0,6.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
17026,776,35.271673290254704,365.17647058823536,725,4.13357400722022,43.0,4.0,0.0,2.0,,,,,,
17027,3842,135.80389575229805,1296.8125308128474,3455,4.015588103156131,298.0,14.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0
17028,388,9.00374003246066,135.7493472584856,362,3.93243243243243,24.0,3.0,1.0,3.0,,,,,,
17029,258,4.8571428571428505,109.54761904761924,243,3.95833333333333,24.0,1.0,0.0,1.0,,,,,,
17030,949,67.94329665781393,417.4398734177213,785,4.38964577656676,95.0,4.0,1.0,3.0,,,,,,
17031,279,18.07646356033456,125.99999999999999,229,4.14814814814815,23.0,3.0,0.0,0.0,,,,,,
17032,2889,197.96848674525523,1230.3816371681423,2253,4.62903225806452,264.0,16.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,3.0
17033,8196,423.4320942031886,2644.2355229860677,7544,4.371680847099087,796.0,44.0,12.0,24.0,0.0,0.0,1.0,0.0,0.0,1.0
17034,11712,675.6037045344892,3907.6793732451615,9784,4.493639213018253,1817.0,115.0,18.0,52.0,0.0,0.0,2.0,0.0,0.0,2.0
17035,715,16.17896972915561,271.3492063492063,684,4.05947955390335,193.0,7.0,6.0,10.0,,,,,,
17036,3217,110.61738109577688,973.8743789714695,3068,4.204928772515362,219.0,9.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0
17037,162,5.4937867887508105,79.25179856115136,153,4.30909090909091,85.0,2.0,1.0,3.0,,,,,,
17038,535,13.12059748563904,177.02925045703861,517,4.07109004739337,49.0,1.0,5.0,7.0,,,,,,
17039,2469,114.70820464752677,1091.1974896679667,2137,4.442274545326869,278.0,6.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0
17040,750,62.071157411494674,382.780082987552,709,4.62056737588652,42.0,3.0,0.0,1.0,,,,,,
